field,semester,subject,english_name,ects,lecturer,hours,description,syllabus_topics,exam_date,assessment_method
Informatyka,1,Wstep do programowania,Introduction to Programming,6,dr Anna Kowalska,"30h wyklad, 30h laboratorium","Podstawy skladni Python, funkcje, listy, slowniki, pliki oraz proste testy jednostkowe.","zmienne; instrukcje warunkowe; petle; funkcje; kolekcje; pliki; testy jednostkowe","22 czerwca 2026","Laboratoria 40%, projekt 30%, egzamin praktyczny 30%."
Informatyka,1,Matematyka dyskretna,Discrete Mathematics,5,dr Piotr Nowak,"30h wyklad, 15h cwiczenia","Logika, zbiory, relacje, grafy, indukcja matematyczna i elementy kombinatoryki.","logika; zbiory; relacje; funkcje; grafy; indukcja; kombinatoryka","18 czerwca 2026","Kolokwium 40%, egzamin pisemny 60%."
Informatyka,1,Architektura komputerow,Computer Architecture,4,mgr Tomasz Zielinski,"20h wyklad, 20h laboratorium","Budowa komputera, reprezentacja danych, procesor, pamiec, magistrale i podstawy asemblera.","systemy liczbowe; procesor; pamiec; magistrale; wejscie-wyjscie; asembler","16 czerwca 2026","Laboratorium 50%, test koncowy 50%."
Informatyka,1,Jezyk angielski B2,English B2,2,mgr Ewa Malinowska,"30h cwiczenia","Komunikacja akademicka i techniczna w jezyku angielskim dla studentow informatyki.","czytanie dokumentacji; prezentacje; slownictwo IT; korespondencja","12 czerwca 2026","Aktywnosc 30%, prezentacja 30%, test jezykowy 40%."
Informatyka,1,Technologie internetowe,Web Technologies,4,dr Lukasz Mazur,"15h wyklad, 30h laboratorium","HTML, CSS, podstawy JavaScript oraz publikowanie prostych stron internetowych.","HTML semantyczny; CSS; responsywnosc; JavaScript; formularze; dostepnosc","19 czerwca 2026","Projekt strony 60%, laboratoria 20%, test 20%."
Informatyka,2,Algorytmy i struktury danych,Algorithms and Data Structures,6,dr Anna Kowalska,"30h wyklad, 30h laboratorium","Analiza zlozonosci, sortowanie, kolejki, stosy, drzewa, grafy oraz tablice mieszajace.","notacja O; sortowanie; listy; stosy; kolejki; drzewa; grafy; haszowanie","25 czerwca 2026","Projekt programistyczny 40%, laboratoria 20%, egzamin 40%."
Informatyka,2,Bazy danych,Databases,5,dr hab. Maria Wisniewska,"30h wyklad, 30h laboratorium","Model relacyjny, SQL, normalizacja, transakcje, indeksy i projektowanie schematow baz danych.","model relacyjny; SQL; normalizacja; transakcje; indeksy; projektowanie schematow","5 czerwca 2026","Test SQL 30%, projekt zespolowy 40%, odpowiedz ustna 30%."
Informatyka,2,Systemy operacyjne,Operating Systems,5,dr Piotr Nowak,"30h wyklad, 20h laboratorium","Procesy, watki, planowanie, pamiec wirtualna, systemy plikow i podstawy administracji Linux.","procesy; watki; planowanie CPU; pamiec wirtualna; systemy plikow; Linux","24 czerwca 2026","Laboratoria 50%, egzamin 50%."
Informatyka,2,Programowanie obiektowe,Object-Oriented Programming,5,dr Lukasz Mazur,"20h wyklad, 30h laboratorium","Klasy, obiekty, dziedziczenie, interfejsy, wyjatki, testowanie i wzorce projektowe.","klasy; obiekty; dziedziczenie; polimorfizm; wyjatki; testy; wzorce projektowe","26 czerwca 2026","Laboratoria 35%, projekt 35%, egzamin praktyczny 30%."
Informatyka,2,Podstawy elektroniki,Electronics Basics,3,dr Marek Lewandowski,"20h wyklad, 15h laboratorium","Elementy elektroniczne, uklady cyfrowe, pomiary i podstawy pracy z mikrokontrolerami.","rezystory; bramki logiczne; pomiary; uklady cyfrowe; mikrokontrolery","15 czerwca 2026","Laboratorium 50%, kolokwium 50%."
Informatyka,3,Sieci komputerowe,Computer Networks,5,dr Pawel Kaczmarek,"30h wyklad, 30h laboratorium","Modele OSI i TCP/IP, adresacja IP, routing, uslugi sieciowe oraz podstawy bezpieczenstwa sieci.","OSI; TCP/IP; IPv4; IPv6; routing; DNS; HTTP; bezpieczenstwo sieci","20 czerwca 2026","Laboratoria sieciowe 40%, kolokwium 20%, egzamin 40%."
Informatyka,3,Inzynieria oprogramowania,Software Engineering,5,dr Katarzyna Wrobel,"30h wyklad, 30h projekt","Analiza wymagan, UML, projektowanie systemow, metodyki zwinne, testowanie i zarzadzanie projektem.","wymagania; UML; Scrum; Git; testowanie; dokumentacja; zarzadzanie projektem","23 czerwca 2026","Projekt zespolowy 50%, dokumentacja 20%, egzamin 30%."
Informatyka,3,Programowanie aplikacji webowych,Web Application Development,5,dr Lukasz Mazur,"20h wyklad, 40h laboratorium","Tworzenie aplikacji webowych z backendem, API, bazami danych i uwierzytelnianiem.","HTTP; REST API; backend; frontend; uwierzytelnianie; ORM; wdrozenie","27 czerwca 2026","Projekt aplikacji 60%, laboratoria 20%, obrona 20%."
